filepath,filename,main_category,sub_category,brand
images\ut-zap50k\Boots\Mid-Calf\Western Chief Kids\7448467.164412.jpg,7448467.164412.jpg,Boots,Mid-Calf,Western Chief Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance\7942183.1412.jpg,7942183.1412.jpg,Shoes,Sneakers and Athletic Shoes,New Balance
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Kids\8074609.390427.jpg,8074609.390427.jpg,Shoes,Sneakers and Athletic Shoes,adidas Kids
images\ut-zap50k\Boots\Ankle\Roper Kids\7936751.559.jpg,7936751.559.jpg,Boots,Ankle,Roper Kids
images\ut-zap50k\Shoes\Loafers\Merrell\7460247.327425.jpg,7460247.327425.jpg,Shoes,Loafers,Merrell
images\ut-zap50k\Shoes\Oxfords\Rockport\7996724.47756.jpg,7996724.47756.jpg,Shoes,Oxfords,Rockport
images\ut-zap50k\Shoes\Oxfords\BOSS Orange\8107450.3.jpg,8107450.3.jpg,Shoes,Oxfords,BOSS Orange
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Kids\8022814.151.jpg,8022814.151.jpg,Shoes,Sneakers and Athletic Shoes,Nike Kids
images\ut-zap50k\Boots\Ankle\Primigi Kids\8031911.401.jpg,8031911.401.jpg,Boots,Ankle,Primigi Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Merrell\7987252.3.jpg,7987252.3.jpg,Shoes,Sneakers and Athletic Shoes,Merrell
images\ut-zap50k\Boots\Ankle\ara\8037355.60.jpg,8037355.60.jpg,Boots,Ankle,ara
images\ut-zap50k\Boots\Ankle\Rockport\7996735.341.jpg,7996735.341.jpg,Boots,Ankle,Rockport
images\ut-zap50k\Sandals\Flat\Romika\7902341.632.jpg,7902341.632.jpg,Sandals,Flat,Romika
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\K-Swiss\7973138.354027.jpg,7973138.354027.jpg,Shoes,Sneakers and Athletic Shoes,K-Swiss
images\ut-zap50k\Boots\Mid-Calf\Frye\7438214.290420.jpg,7438214.290420.jpg,Boots,Mid-Calf,Frye
images\ut-zap50k\Shoes\Flats\Nine West Kids\7670480.103.jpg,7670480.103.jpg,Shoes,Flats,Nine West Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Running\7766779.163208.jpg,7766779.163208.jpg,Shoes,Sneakers and Athletic Shoes,adidas Running
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Originals Kids\7929799.45499.jpg,7929799.45499.jpg,Shoes,Sneakers and Athletic Shoes,adidas Originals Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Lacoste\8050305.3.jpg,8050305.3.jpg,Shoes,Sneakers and Athletic Shoes,Lacoste
images\ut-zap50k\Shoes\Prewalker\Robeez\7801122.72.jpg,7801122.72.jpg,Shoes,Prewalker,Robeez
images\ut-zap50k\Shoes\Oxfords\Frye\7550063.3.jpg,7550063.3.jpg,Shoes,Oxfords,Frye
images\ut-zap50k\Sandals\Flat\Frye\7719747.687.jpg,7719747.687.jpg,Sandals,Flat,Frye
images\ut-zap50k\Boots\Mid-Calf\Kamik Kids\7817093.3.jpg,7817093.3.jpg,Boots,Mid-Calf,Kamik Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Originals\7600107.355516.jpg,7600107.355516.jpg,Shoes,Sneakers and Athletic Shoes,adidas Originals
images\ut-zap50k\Sandals\Flat\UGG\7720633.76276.jpg,7720633.76276.jpg,Sandals,Flat,UGG
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\The North Face\7999235.352167.jpg,7999235.352167.jpg,Shoes,Sneakers and Athletic Shoes,The North Face
images\ut-zap50k\Boots\Ankle\Keen Utility\7886496.92874.jpg,7886496.92874.jpg,Boots,Ankle,Keen Utility
images\ut-zap50k\Boots\Knee High\Franco Sarto\8045191.325.jpg,8045191.325.jpg,Boots,Knee High,Franco Sarto
images\ut-zap50k\Boots\Ankle\Franco Sarto\8045204.105500.jpg,8045204.105500.jpg,Boots,Ankle,Franco Sarto
images\ut-zap50k\Sandals\Flat\Robert Clergerie\8064879.82.jpg,8064879.82.jpg,Sandals,Flat,Robert Clergerie
images\ut-zap50k\Shoes\Flats\Naturino\7987180.1334.jpg,7987180.1334.jpg,Shoes,Flats,Naturino
images\ut-zap50k\Shoes\Oxfords\Allen-Edmonds\7757187.8612.jpg,7757187.8612.jpg,Shoes,Oxfords,Allen-Edmonds
images\ut-zap50k\Shoes\Clogs and Mules\Alegria\7814542.367592.jpg,7814542.367592.jpg,Shoes,Clogs and Mules,Alegria
images\ut-zap50k\Boots\Mid-Calf\Frye\7175346.325.jpg,7175346.325.jpg,Boots,Mid-Calf,Frye
images\ut-zap50k\Shoes\Loafers\NO SOX\8038202.106.jpg,8038202.106.jpg,Shoes,Loafers,NO SOX
images\ut-zap50k\Slippers\Slipper Flats\Foamtreads Kids\7253808.7.jpg,7253808.7.jpg,Slippers,Slipper Flats,Foamtreads Kids
images\ut-zap50k\Boots\Ankle\UGG\8041785.281.jpg,8041785.281.jpg,Boots,Ankle,UGG
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Puma Kids\7785845.162682.jpg,7785845.162682.jpg,Shoes,Sneakers and Athletic Shoes,Puma Kids
images\ut-zap50k\Boots\Ankle\ECCO Sport\7658716.180698.jpg,7658716.180698.jpg,Boots,Ankle,ECCO Sport
images\ut-zap50k\Shoes\Flats\Pablosky Kids\8029605.401.jpg,8029605.401.jpg,Shoes,Flats,Pablosky Kids
images\ut-zap50k\Shoes\Heels\Madden Girl\8120217.80.jpg,8120217.80.jpg,Shoes,Heels,Madden Girl
images\ut-zap50k\Shoes\Loafers\Nine West\8007850.371050.jpg,8007850.371050.jpg,Shoes,Loafers,Nine West
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\PUMA\7975964.260931.jpg,7975964.260931.jpg,Shoes,Sneakers and Athletic Shoes,PUMA
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Zigi\8098507.18796.jpg,8098507.18796.jpg,Shoes,Sneakers and Athletic Shoes,Zigi
images\ut-zap50k\Shoes\Heels\KORS Michael Kors\7971475.79988.jpg,7971475.79988.jpg,Shoes,Heels,KORS Michael Kors
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Merrell\7987111.3.jpg,7987111.3.jpg,Shoes,Sneakers and Athletic Shoes,Merrell
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\La Sportiva\7894030.158.jpg,7894030.158.jpg,Shoes,Sneakers and Athletic Shoes,La Sportiva
images\ut-zap50k\Shoes\Heels\Vince Camuto\8071865.114913.jpg,8071865.114913.jpg,Shoes,Heels,Vince Camuto
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Lakai\7465227.94014.jpg,7465227.94014.jpg,Shoes,Sneakers and Athletic Shoes,Lakai
images\ut-zap50k\Shoes\Heels\Rockport\8087956.395385.jpg,8087956.395385.jpg,Shoes,Heels,Rockport
images\ut-zap50k\Shoes\Heels\Naot Footwear\7448614.207045.jpg,7448614.207045.jpg,Shoes,Heels,Naot Footwear
